Matricule;Prenom;Nom;Cours;Note
E001;Alice;Manga;Mathematiques;15.5
E001;Alice;Manga;Informatique;17
E001;Alice;Manga;Physique;14
E001;Alice;Manga;Francais;16.5
E002;Benjamin;Kenfack;Mathematiques;12
E002;Benjamin;Kenfack;Informatique;13.5
E002;Benjamin;Kenfack;Physique;11
E002;Benjamin;Kenfack;Francais;14
E003;Charlotte;Ngo;Mathematiques;18
E003;Charlotte;Ngo;Informatique;19
E003;Charlotte;Ngo;Physique;17.5
E003;Charlotte;Ngo;Francais;16
E004;David;Douryang;Mathematiques;9.5
E004;David;Douryang;Informatique;11
E004;David;Douryang;Physique;8
E004;David;Douryang;Francais;12.5
E005;Emma;Esseba;Mathematiques;14
E005;Emma;Esseba;Informatique;15.5
E005;Emma;Esseba;Physique;13
E005;Emma;Esseba;Francais;15
E006;Felix;Bikek;Mathematiques;10.5
E006;Felix;Bikek;Informatique;9
E006;Felix;Bikek;Physique;12
E006;Felix;Bikek;Francais;11.5
E007;Gabrielle;Akono;Mathematiques;16.5
E007;Gabrielle;Akono;Informatique;17.5
E007;Gabrielle;Akono;Physique;15
E007;Gabrielle;Akono;Francais;18
E008;Hugo;Wafo;Mathematiques;13
E008;Hugo;Wafo;Informatique;14.5
E008;Hugo;Wafo;Physique;12.5
E008;Hugo;Wafo;Francais;13.5
